,Users,Date Created,Number of Likes,Source of Tweet,Tweet
0,lucy woods,2022-10-25 18:04:22+00:00,0,Twitter Web App,"RT @LBC: 'That was demeaning really.'

Boris Johnson found himself 'struggling and begging people for votes', claims former Conservative Pa…"
1,Maura McCormick,2022-10-25 18:04:21+00:00,0,Twitter Web App,RT @sarahdiaryz: New Conservative Party leader and Prime Minister Rishi Sunak was greeted by our beloved Lieutenant Colonel Johnny Thompson…
2,Canidae🆘🌻💙💛,2022-10-25 18:04:21+00:00,0,Twitter for iPad,RT @AhmedBaba_: @Independent What happened in the UK isn’t just an indictment of the UK’s Conservative Party and Liz Truss’s poor leadershi…
3,Shamz 🌤,2022-10-25 18:04:20+00:00,0,Twitter for iPhone,RT @jasebyjason: I really think Rishi Sunak being the first non-white Prime Minister only becomes genuinely historic if he’s voted into off…
4,Steve Hannaway,2022-10-25 18:04:20+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
5,Sam Golding,2022-10-25 18:04:16+00:00,0,Twitter for Android,The truss cabinet and the new Sunak cabinet really show what a sparsity of talent there is In the conservative part… https://t.co/LnfiDlGizo
6,President Millar,2022-10-25 18:04:13+00:00,0,Twitter for iPhone,RT @JDMahama: Significant developments in the UK with 42 year old @RishiSunak emerging as Leader of the Conservative Party and soon to be a…
7,"Wake Up America, the Original",2022-10-25 18:04:10+00:00,0,Twitter Web App,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
8,jothi venkaSESH,2022-10-25 18:04:08+00:00,0,Twitter for iPhone,RT @jasebyjason: I really think Rishi Sunak being the first non-white Prime Minister only becomes genuinely historic if he’s voted into off…
9,Shreyeaaahhh,2022-10-25 18:04:07+00:00,0,Twitter for Android,RT @NewsBytesApp: Rishi Sunak scripted history on Monday after winning the race to lead the Conservative Party &amp; became the PM of the Unite…
